text,label,description,cleaned_text,filtered_text,lemmatized_text
i didnt feel humiliated,0,sad,i didnt feel humiliated,didnt feel humiliated,didnt feel humiliate
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,sad,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,go feeling hopeless damned hopeful around someone cares awake,go feeling hopeless damned hopeful around someone care awake
im grabbing a minute to post i feel greedy wrong,3,anger,im grabbing a minute to post i feel greedy wrong,im grabbing minute post feel greedy wrong,im grab minute post feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,love,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,ever feeling nostalgic fireplace know still property,ever feeling nostalgic fireplace know still property
i am feeling grouchy,3,anger,i am feeling grouchy,feeling grouchy,feeling grouchy
ive been feeling a little burdened lately wasnt sure why that was,0,sad,ive been feeling a little burdened lately wasnt sure why that was,ive feeling little burdened lately wasnt sure,ive feeling little burden lately wasnt sure
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,surprise,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,ive taking milligrams times recommended amount ive fallen asleep lot faster also feel like funny,ive taking milligram time recommend amount ive fall asleep lot fast also feel like funny
i feel as confused about life as a teenager or as jaded as a year old man,4,fear,i feel as confused about life as a teenager or as jaded as a year old man,feel confused life teenager jaded year old man,feel confuse life teenager jade year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,joy,i have been with petronas for years i feel that petronas has performed well and made a huge profit,petronas years feel petronas performed well made huge profit,petronas year feel petronas perform well make huge profit
i feel romantic too,2,love,i feel romantic too,feel romantic,feel romantic
i feel like i have to make the suffering i m seeing mean something,0,sad,i feel like i have to make the suffering i m seeing mean something,feel like make suffering seeing mean something,feel like make suffering seeing mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,joy,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,feel running divine experience expect type spiritual encounter,feel running divine experience expect type spiritual encounter
i think it s the easiest time of year to feel dissatisfied,3,anger,i think it s the easiest time of year to feel dissatisfied,think easiest time year feel dissatisfied,think easy time year feel dissatisfy
i feel low energy i m just thirsty,0,sad,i feel low energy i m just thirsty,feel low energy thirsty,feel low energy thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,joy,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,immense sympathy general point possible proto writer trying find time write corners life sign agent let alone publishing contract feels little precious,immense sympathy general point possible proto writer try find time write corner life sign agent let alone publishing contract feel little precious
i do not feel reassured anxiety is on each side,1,joy,i do not feel reassured anxiety is on each side,feel reassured anxiety side,feel reassure anxiety side
i didnt really feel that embarrassed,0,sad,i didnt really feel that embarrassed,didnt really feel embarrassed,didnt really feel embarrass
i feel pretty pathetic most of the time,0,sad,i feel pretty pathetic most of the time,feel pretty pathetic time,feel pretty pathetic time
